id,my_label
8436576506103,haircare
8710447246771,haircare
2005040432000,haircare
4005900465481,skincare
8901396368205,skincare
3600542571951,haircare
4039401751002,skincare
5063334011864,skincare
3058320028201,skincare
5901018021566,haircare
7501007533971,skincare
3251241047966,haircare
8480024553065,skincare
4066447106404,skincare
3760099730000,skincare
8697853217857,skincare
9300830056491,skincare
5694520711123,haircare
8901207044472,haircare
4005900901514,skincare
3059944026734,skincare
4750832006874,skincare
4006000011400,skincare
8681127023633,haircare
3516170025660,skincare
4066447591620,skincare
3282770396515,haircare
3596710517350,skincare
3600521627402,makeup
3140100143119,haircare
6132349400563,skincare
3760214630024,haircare
3770013899126,haircare
5060176674684,haircare
3474630618435,haircare
8054042630208,haircare
3450270016862,skincare
8720181456855,skincare
8021983812475,skincare
3600550580051,skincare
5701943102619,skincare
8008970002859,skincare
3600550258301,skincare
3574661593524,haircare
4005900691521,skincare
3560070957477,skincare
4059729419606,makeup
3522930003694,skincare
3770018286150,skincare
3141389959873,skincare
8719134164183,skincare
3600531640378,makeup
3263855988924,skincare
4017645028579,haircare
3182611233019,skincare
4602006362050,makeup
4011609011904,skincare
8594060451084,skincare
8690937016124,haircare
4103040051479,skincare
4305615629896,skincare
8690604380138,makeup
3660005418544,skincare
4823071656435,skincare
3760349312772,skincare
3253581754047,skincare
5013575111182,skincare
5045091051628,skincare
4311501677834,skincare
7621500114153,haircare
4058172703072,haircare
4820185227315,skincare
8025916128084,skincare
8480000441683,haircare
4062300421677,skincare
7500435185691,haircare
4059729231635,makeup
3001000012502,skincare
