code,manual_label
4005808817726,skincare
0882381080693,skincare
3660005111582,skincare
6130024167152,skincare
5025135113918,skincare
8901012185209,skincare
0769915194791,skincare
0667551169091,skincare
5020465201687,skincare
8710537044812,skincare
0667552223587,skincare
3286010031051,skincare
3593290025206,skincare
0811346020269,skincare
4005800016264,skincare
3600524012601,skincare
5056379590616,haircare
0041520035585,skincare
9000101726510,skincare
3600550981926,skincare
3563210011701,skincare
9005800299907,skincare
8710847970016,skincare
8719238009465,skincare
3615370003444,skincare
8809657114731,skincare
3616302735617,skincare
0077326835593,skincare
3600541237070,haircare
0079400122643,skincare
4305615338798,skincare
8051016107346,skincare
0035000996749,skincare
8720674232799,skincare
8720181089985,skincare
4066447394757,skincare
3600520301624,skincare
5057566328814,skincare
0667556605051,skincare
4061458203470,skincare
3496344214147,skincare
0681131436472,skincare
0649674028219,makeup
8906005274069,skincare
7794740091307,skincare
3801017001595,skincare
3760155218022,skincare
4005900805577,skincare
3141380052900,skincare
4010355306739,skincare
3600524075453,haircare
4005900915818,skincare
0036800064478,skincare
8690587201000,skincare
4808888411583,skincare
3245678562215,skincare
3551780003899,skincare
3600541375710,haircare
4001638086516,skincare
3600542449618,skincare
0037000801009,skincare
8716716059622,skincare
5045091726540,skincare
8719033561571,skincare
3282770073812,skincare
3662361002597,skincare
4744183010222,skincare
8710847929083,skincare
3574661491066,skincare
3701120000266,haircare
3770005171100,skincare
8001841736211,skincare
5603053100991,skincare
0840191609459,skincare
3260776501003,skincare
8710522495858,skincare
4006000049656,skincare
07802782,skincare
3574660260038,skincare
8719134031928,skincare
3401325494340,skincare
3605971307928,skincare
4006000083810,skincare
3700914602600,skincare
42419440,skincare
3337875795456,skincare
3522930001096,skincare
7506306252189,skincare
3600551145969,skincare
8718951399747,skincare
7350075690723,skincare
3606000552593,skincare
0017854100213,skincare
5906750808154,skincare
0609332822177,skincare
23460232,skincare
3600550845181,skincare
8712561828628,skincare
00017983,skincare
5029354000868,skincare
0885492857437,skincare
2000000151845,skincare
4059729542359,skincare
3600524195625,skincare
0010181040504,skincare
7640144130312,skincare
4005808130146,skincare
0124599801708,skincare
8809470122043,skincare
8720182050328,skincare
8718801811474,skincare
0817939015100,skincare
3600524175610,skincare
5028197414634,skincare
02624236,skincare
3245677745961,skincare
3401381332846,skincare
8906118413218,skincare
8901030945670,skincare
8411135483262,skincare
