code,manual_label
3760254813166,skincare
06555115,skincare
0079400458148,skincare
3264680034497,skincare
4006000016498,skincare
27044759,skincare
8856153345718,skincare
3760019129204,skincare
7501026006609,skincare
3596710551958,skincare
3574660527452,skincare
8719134173031,skincare
3337875542654,skincare
3045206392976,skincare
8718951741225,skincare
0640466164078,skincare
5028197941666,skincare
8720181360602,skincare
5906439040066,skincare
8001841501871,skincare
4015100892901,haircare
3660005788616,skincare
4006000172224,skincare
3245678068014,haircare
0077043647509,skincare
0850016678928,skincare
0754604150080,skincare
8905110007784,skincare
8719238020958,skincare
8431876282146,skincare
8016225940689,skincare
3600522249634,skincare
3701209200167,skincare
3250391571673,skincare
5057566295468,skincare
6200000000015,skincare
4005808700110,skincare
8715342026442,skincare
3661163405865,skincare
8710447491300,skincare
7290107421348,skincare
3522930004035,skincare
5060565101814,skincare
8809581074767,skincare
8402001020810,haircare
0460006013037,skincare
0037000801009,skincare
3660005761855,skincare
3499320018340,skincare
3600524128869,haircare
0667558549919,skincare
0492611854156,skincare
4005808113460,skincare
8904035426649,skincare
3596710177479,skincare
7630028603117,skincare
3600524075453,haircare
3800225479608,skincare
5201410220834,skincare
7613107300046,skincare
3600524242831,skincare
8719189451184,skincare
8717163748374,skincare
3600542628259,skincare
4005900388537,skincare
8901030977084,skincare
3600523434596,skincare
3245678562307,skincare
5900017084473,skincare
7340011437383,skincare
3770033200360,skincare
3245678042175,skincare
8886467020124,skincare
4059729340917,skincare
9421008705604,skincare
8717163714348,skincare
3250391438136,skincare
3350033188396,skincare
4021457614233,skincare
4005900456144,skincare
3596200062063,skincare
0667534781098,skincare
5901887028949,skincare
3337875674997,skincare
3245678704400,skincare
3256229526778,skincare
3245678689493,skincare
8901030877070,skincare
4010355507280,skincare
0017000170732,skincare
0037000481843,skincare
8719325558234,skincare
8720181284885,skincare
8800312063319,skincare
8718951433083,skincare
4005900840851,skincare
8058664129386,skincare
3286011059702,skincare
27050323,skincare
8904417314755,skincare
5901887008460,skincare
3760100682649,skincare
8901138837563,skincare
8003510037964,skincare
6925845632879,skincare
0641628501731,skincare
0813424021168,skincare
06244810,skincare
3433422406834,skincare
3696000556523,skincare
3245678044490,skincare
4058172483394,skincare
3282779420648,skincare
4005900679178,skincare
3564700389232,skincare
8001280049989,skincare
3567730700046,skincare
5014697055934,skincare
3596710191116,skincare
3284410053017,skincare
3700593603936,skincare
0856556004111,skincare
5060307390148,skincare
8717163742839,skincare
3222475427664,skincare
3574661774428,skincare
3614229376777,skincare
8006540289945,skincare
8961014263060,skincare
5410091777999,haircare
3560070743209,skincare
0017854112254,skincare
3760135010035,skincare
3600523596065,skincare
0850035298503,haircare
4056489586852,skincare
3600542514101,skincare
0810083680354,skincare
4550512979524,skincare
7310617312780,skincare
3245678671146,skincare
3574661680934,skincare
8431876282030,skincare
8710847929052,skincare
7640163065473,skincare
0834576005653,skincare
0665138000386,skincare
0667555435338,skincare
7290113146600,skincare
9346630099924,skincare
0079400017437,skincare
8711600368804,skincare
8432583831382,skincare
29939381,skincare
0041507051614,skincare
0810020173697,skincare
3616303842420,skincare
0305210042230,skincare
6932511226201,skincare
0082121800257,skincare
9192292141316,skincare
3178041315432,haircare
4902430634014,haircare
10467630,haircare
8901030943355,haircare
4066447240849,haircare
0028367837770,haircare
0080878192724,haircare
0190679007100,haircare
8006540739136,haircare
7350001701486,haircare
3286010064615,haircare
0080878195251,haircare
0011131399802,haircare
5060120170217,haircare
3178041363112,haircare
3574669907736,haircare
3600522496038,haircare
8720254710594,haircare
3250392602840,haircare
8001841389486,haircare
8710447307557,haircare
0022796910912,haircare
6281006534971,haircare
8414152411027,haircare
3600521571385,haircare
3474636920204,haircare
3600550817560,haircare
5901887042006,haircare
0037000823445,haircare
5291375000220,haircare
5901742001247,haircare
0190679004772,haircare
0603084459339,haircare
0079400075550,haircare
