path,true_label,pred_label,confidence,bucket
c:\Projects\cosmetic-expiry-scanner\backend\data\raw_v1_clean\makeup\3145891812404.jpg,makeup,skincare,0.7769880890846252,clear_wrong
c:\Projects\cosmetic-expiry-scanner\backend\data\raw_v1_clean\skincare\50330218.jpg,skincare,haircare,0.3733348846435547,hard_photo
c:\Projects\cosmetic-expiry-scanner\backend\data\raw_v1_clean\skincare\4063367108778.jpg,skincare,haircare,0.3654369115829468,clear_wrong
c:\Projects\cosmetic-expiry-scanner\backend\data\raw_v1_clean\haircare\8595641300111.jpg,haircare,skincare,0.5753241181373596,clear_wrong
c:\Projects\cosmetic-expiry-scanner\backend\data\raw_v1_clean\haircare\3600541101999.jpg,haircare,skincare,0.7269923686981201,ambiguous_product
c:\Projects\cosmetic-expiry-scanner\backend\data\raw_v1_clean\makeup\3662217004805.jpg,makeup,skincare,0.8419674038887024,clear_wrong
c:\Projects\cosmetic-expiry-scanner\backend\data\raw_v1_clean\haircare\0071164343272.jpg,haircare,skincare,0.9588460922241211,clear_wrong
c:\Projects\cosmetic-expiry-scanner\backend\data\raw_v1_clean\haircare\7690606062194.jpg,haircare,skincare,0.5582188367843628,clear_wrong
c:\Projects\cosmetic-expiry-scanner\backend\data\raw_v1_clean\haircare\0810135730082.jpg,haircare,skincare,0.5504522323608398,clear_wrong
c:\Projects\cosmetic-expiry-scanner\backend\data\raw_v1_clean\skincare\8720865369105.jpg,skincare,haircare,0.6712517142295837,clear_wrong
c:\Projects\cosmetic-expiry-scanner\backend\data\raw_v1_clean\haircare\8001841212388.jpg,haircare,skincare,0.6878302693367004,hard_photo
c:\Projects\cosmetic-expiry-scanner\backend\data\raw_v1_clean\skincare\0870223028675.jpg,skincare,haircare,0.6911408305168152,clear_wrong
c:\Projects\cosmetic-expiry-scanner\backend\data\raw_v1_clean\skincare\3856007900976.jpg,skincare,haircare,0.8772405385971069,hard_photo
